서울/2020-04-24 12:00/맑음/15/4
서울/2020-04-25 12:00/맑음/17/8
서울/2020-04-26 12:00/맑음/17/7
서울/2020-04-27 12:00/맑음/17/8
서울/2020-04-28 12:00/맑음/19/8
인천/2020-04-24 12:00/맑음/13/7
인천/2020-04-25 12:00/맑음/15/9
인천/2020-04-26 12:00/맑음/15/8
인천/2020-04-27 12:00/맑음/16/9
인천/2020-04-28 12:00/맑음/17/9
수원/2020-04-24 12:00/맑음/16/4
수원/2020-04-25 12:00/맑음/18/7
수원/2020-04-26 12:00/맑음/17/6
수원/2020-04-27 12:00/맑음/18/7
수원/2020-04-28 12:00/맑음/19/7
파주/2020-04-24 12:00/맑음/16/1
파주/2020-04-25 12:00/맑음/18/5
파주/2020-04-26 12:00/맑음/18/4
파주/2020-04-27 12:00/맑음/19/4
파주/2020-04-28 12:00/맑음/21/4
이천/2020-04-24 12:00/맑음/17/3
이천/2020-04-25 12:00/맑음/19/6
이천/2020-04-26 12:00/맑음/18/6
이천/2020-04-27 12:00/맑음/19/5
이천/2020-04-28 12:00/맑음/20/5
평택/2020-04-24 12:00/맑음/17/4
평택/2020-04-25 12:00/맑음/19/8
평택/2020-04-26 12:00/맑음/17/6
평택/2020-04-27 12:00/맑음/17/6
평택/2020-04-28 12:00/맑음/19/6
춘천/2020-04-24 12:00/맑음/17/2
춘천/2020-04-25 12:00/맑음/18/6
춘천/2020-04-26 12:00/맑음/17/6
춘천/2020-04-27 12:00/맑음/17/5
춘천/2020-04-28 12:00/맑음/19/4
원주/2020-04-24 12:00/맑음/17/4
원주/2020-04-25 12:00/맑음/19/7
원주/2020-04-26 12:00/맑음/17/6
원주/2020-04-27 12:00/맑음/18/7
원주/2020-04-28 12:00/맑음/19/6
강릉/2020-04-24 12:00/맑음/17/6
강릉/2020-04-25 12:00/맑음/21/11
강릉/2020-04-26 12:00/구름많고 비/15/9
강릉/2020-04-27 12:00/구름많고 비/14/8
강릉/2020-04-28 12:00/맑음/16/8
대전/2020-04-24 12:00/맑음/18/5
대전/2020-04-25 12:00/맑음/20/8
대전/2020-04-26 12:00/맑음/19/7
대전/2020-04-27 12:00/맑음/19/7
대전/2020-04-28 12:00/맑음/20/6
세종/2020-04-24 12:00/맑음/18/3
세종/2020-04-25 12:00/맑음/21/7
세종/2020-04-26 12:00/맑음/18/5
